time_sec,gt_pose_x,gt_velocidad_x,gt_aceleracion_x,tray_pose_x,tray_velocidad_x,tray_aceleracion_x,gt_pose_y,gt_velocidad_y,gt_aceleracion_y,tray_pose_y,tray_velocidad_y,tray_aceleracion_y,gt_pose_z,gt_velocidad_z,gt_aceleracion_z,tray_pose_z,tray_velocidad_z,tray_aceleracion_z,gt_pose_yaw,gt_velocidad_yaw,gt_aceleracion_yaw,tray_pose_yaw,tray_velocidad_yaw,tray_aceleracion_yaw,error_pose_x,error_pose_y,error_pose_z,error_pose_yaw,error_velocidad_x,error_velocidad_y,error_velocidad_z,error_velocidad_yaw,error_aceleracion_x,error_aceleracion_y,error_aceleracion_z,error_aceleracion_yaw
1789945689.519999981,-0.826676644,-0.819569221,-0.233592807,-0.830959368,-0.739758322,-0.319999967,0.016885648,-0.058060061,-0.002237184,-0.002510359,0.000249208,0.000111255,3.004877029,-0.001495242,0.006017265,3.002104304,-0.000208898,-0.000093259,179.978274297,-0.000008813,-0.010703594,180.000000000,0.000000000,0.000000000,-0.004282724,-0.019396006,-0.002772724,0.021725703,0.079810899,0.058309269,0.001286344,0.000008813,-0.086407160,0.002348439,-0.006110524,0.010703594
1789945689.539999962,-0.843115903,-0.824108265,-0.226952201,-0.845783789,-0.746157139,-0.319999967,0.015724938,-0.057996059,0.003200107,-0.002505364,0.000251432,0.000111255,3.004848540,-0.001358545,0.006834828,3.002100118,-0.000210763,-0.000093259,179.979008263,0.000210550,0.010968111,180.000000000,0.000000000,0.000000000,-0.002667886,-0.018230303,-0.002748422,0.020991737,0.077951126,0.058247492,0.001147783,-0.000210550,-0.093047766,-0.003088852,-0.006928087,-0.010968111
1789945689.559999943,-0.859644631,-0.828523745,-0.220774009,-0.860849941,-0.752563466,-0.319999967,0.014566644,-0.057824096,0.008598167,-0.002500286,0.000253660,0.000111255,3.004822678,-0.001237254,0.006064552,3.002095861,-0.000212630,-0.000093259,179.979719326,0.000181729,-0.001441042,180.000000000,0.000000000,0.000000000,-0.001205310,-0.017066930,-0.002726817,0.020280674,0.075960279,0.058077755,0.001024624,-0.000181729,-0.099225958,-0.008486912,-0.006157812,0.001441042
1789945689.579999924,-0.876260400,-0.832818746,-0.214750050,-0.875916093,-0.758969794,-0.319999967,0.013412915,-0.057545125,0.013948550,-0.002495208,0.000255887,0.000111255,3.004799255,-0.001109691,0.006378139,3.002091604,-0.000214497,-0.000093259,179.980405421,0.000437377,0.012782389,180.000000000,0.000000000,0.000000000,0.000344307,-0.015908122,-0.002707651,0.019594579,0.073848952,0.057801012,0.000895195,-0.000437377,-0.105249917,-0.013837295,-0.006471398,-0.012782389
1789945689.599999905,-0.892960875,-0.837001197,-0.209122527,-0.891179634,-0.765364858,-0.319999967,0.012265877,-0.057160392,0.019236626,-0.002490061,0.000258110,0.000111255,3.004778228,-0.001001613,0.005403917,3.002087290,-0.000216361,-0.000093259,179.981067170,0.000258253,-0.008956177,180.000000000,0.000000000,0.000000000,0.001781241,-0.014755938,-0.002690938,0.018932830,0.071636339,0.057418503,0.000785253,-0.000258253,-0.110877440,-0.019125372,-0.005497176,0.008956177
1789945689.619999886,-0.909743807,-0.841069914,-0.203435865,-0.906553626,-0.771765924,-0.319999967,0.011127633,-0.056671234,0.024457925,-0.002484875,0.000260336,0.000111255,3.004759466,-0.000877792,0.006191060,3.002082943,-0.000218226,-0.000093259,179.981703057,0.000672003,0.020687473,180.000000000,0.000000000,0.000000000,0.003190181,-0.013612508,-0.002676523,0.018296942,0.069303990,0.056931570,0.000659566,-0.000672003,-0.116564102,-0.024346670,-0.006284320,-0.020687473
1789945689.640000105,-0.926606962,-0.845030318,-0.198020175,-0.922038252,-0.778173070,-0.319999967,0.010000255,-0.056079255,0.029598964,-0.002479652,0.000262563,0.000111255,3.004743318,-0.000742420,0.006768605,3.002078564,-0.000220093,-0.000093259,179.982326627,0.001611297,0.046964716,180.000000000,0.000000000,0.000000000,0.004568711,-0.012479906,-0.002664754,0.017673373,0.066857248,0.056341818,0.000522327,-0.001611297,-0.121979793,-0.029487709,-0.006861864,-0.046964716
1789945689.660000086,-0.943548283,-0.848892948,-0.193131522,-0.937715511,-0.784567324,-0.319999967,0.008885779,-0.055386348,0.034645344,-0.002474361,0.000264786,0.000111255,3.004729735,-0.000624593,0.005891321,3.002074129,-0.000221957,-0.000093259,179.982940244,0.002159919,0.027431086,180.000000000,0.000000000,0.000000000,0.005832772,-0.011360140,-0.002655606,0.017059756,0.064325624,0.055651134,0.000402637,-0.002159919,-0.126868445,-0.034534089,-0.005984580,-0.027431086
1789945689.680000067,-0.960565862,-0.852661342,-0.188419711,-0.953392770,-0.790961577,-0.319999967,0.007786204,-0.054594442,0.039595284,-0.002469070,0.000267009,0.000111255,3.004718511,-0.000502788,0.006090265,3.002069694,-0.000223820,-0.000093259,179.983541409,0.003050477,0.044527921,180.000000000,0.000000000,0.000000000,0.007173092,-0.010255274,-0.002648817,0.016458591,0.061699765,0.054861452,0.000278968,-0.003050477,-0.131580256,-0.039484029,-0.006183524,-0.044527921
1789945689.700000048,-0.977657901,-0.856344571,-0.184161444,-0.969319598,-0.797366212,-0.319999967,0.006703487,-0.053705827,0.044430732,-0.002463692,0.000269236,0.000111255,3.004709556,-0.000400902,0.005094291,3.002065186,-0.000225687,-0.000093259,179.984130574,0.003340166,0.014484445,180.000000000,0.000000000,0.000000000,0.008338303,-0.009167179,-0.002644370,0.015869426,0.058978359,0.053975064,0.000175215,-0.003340166,-0.135838523,-0.044319477,-0.005187550,-0.014484445
